row_index,loan_amount,income,combined_loan_to_value_ratio,interest_rate,debt_to_income_ratio,rate_spread,loan_term,total_loan_costs,origination_charges,tract_population,tract_minority_population_percent,tract_to_msa_income_percentage,tract_median_age_of_housing_units,applicant_age,stat_score,if_score,if_flag,dbscan_noise,tier,typology
15568,75000,350.0,75.1,8.49,25.0,3.24,240.0,,,10399,20.82,147.0,9,39.5,3,-0.0381,True,,Confirmed (2 metode),Unclassified / Manual Review
20255,515000,248.0,24.0,3.25,49.0,0.349,360.0,18762.95,15450.0,3427,52.32,161.0,0,80.0,2,-0.0381,True,0.0,Confirmed (2 metode),Rare Legitimate
26407,35000,51.0,19.517,0.0,25.0,-4.33,360.0,,,4232,16.8,117.0,0,80.0,2,-0.0381,True,,Confirmed (2 metode),Data Error
45013,405000,116.0,,,,,360.0,,,27220,69.7,141.0,6,39.5,2,-0.0381,True,,Confirmed (2 metode),Unclassified / Manual Review
77505,1425000,,58.33,6.5,,,120.0,,,2701,23.84,212.0,58,,2,-0.0381,True,,Confirmed (2 metode),Unclassified / Manual Review
84449,1085000,611.0,80.0,5.5,15.0,-0.074,360.0,9874.2,1645.0,5036,26.91,233.0,58,29.5,3,-0.0381,True,,Confirmed (2 metode),Unclassified / Manual Review
45927,1065000,472.0,80.0,8.375,33.0,3.063,360.0,27424.35,23645.0,2630,50.15,213.0,34,69.5,6,-0.038,True,,Confirmed (2 metode),Unclassified / Manual Review
78385,2465000,716.0,80.0,3.375,25.0,-2.005,360.0,12397.97,0.0,3573,32.66,119.0,65,29.5,3,-0.038,True,,Confirmed (2 metode),Unclassified / Manual Review
28002,225000,451.0,42.476,4.875,33.0,0.42,180.0,3898.5,1132.0,10935,53.71,194.0,12,59.5,2,-0.0379,True,,Confirmed (2 metode),Unclassified / Manual Review
53363,205000,54.0,72.125,3.375,55.0,0.042,360.0,7072.62,3595.25,11356,19.73,206.0,6,69.5,3,-0.0379,True,,Confirmed (2 metode),Unclassified / Manual Review
73345,455000,554.0,75.0,,55.0,,240.0,,,1190,7.31,256.0,34,39.5,2,-0.0379,True,,Confirmed (2 metode),Unclassified / Manual Review
10907,295000,135.0,,,,,360.0,,,24651,51.39,190.0,6,29.5,2,-0.0378,True,,Confirmed (2 metode),Unclassified / Manual Review
23835,925000,442.0,39.0,5.625,33.0,-1.109,360.0,4144.01,950.0,2011,13.28,302.0,49,49.5,3,-0.0378,True,,Confirmed (2 metode),Rare Legitimate
56969,125000,79.0,96.5,6.75,55.0,2.591,360.0,,,0,0.0,0.0,0,49.5,2,-0.0378,True,,Confirmed (2 metode),Unclassified / Manual Review
63842,3935000,,74.886,2.079,,,84.0,,,6635,15.95,156.0,46,,2,-0.0378,True,,Confirmed (2 metode),Unclassified / Manual Review
95726,1305000,294.0,100.0,6.25,55.0,-0.302,360.0,,,2614,50.19,181.0,0,39.5,2,-0.0378,True,,Confirmed (2 metode),Unclassified / Manual Review
35590,465000,159.0,95.0,5.375,33.0,0.007,360.0,2516.45,1810.0,13901,21.31,221.0,12,49.5,3,-0.0376,True,,Confirmed (2 metode),Unclassified / Manual Review
46205,845000,265.0,70.0,4.375,47.0,,360.0,,,0,0.0,0.0,0,49.5,2,-0.0376,True,,Confirmed (2 metode),Unclassified / Manual Review
64025,15000,,,0.0,,,36.0,0.0,0.0,9294,79.14,74.0,17,,2,-0.0375,True,,Confirmed (2 metode),Data Error
50016,295000,294.0,79.826,3.0,15.0,-0.81,60.0,,,5517,91.86,80.0,59,49.5,2,-0.0374,True,,Confirmed (2 metode),Unclassified / Manual Review
60872,505000,343.0,34.483,4.999,15.0,0.317,360.0,8464.01,5055.0,3728,14.03,295.0,42,29.5,2,-0.0374,True,,Confirmed (2 metode),Rare Legitimate
70095,855000,490.0,25.373,2.225,33.0,-0.638,180.0,0.0,0.0,5510,31.69,173.0,51,59.5,2,-0.0374,True,,Confirmed (2 metode),Rare Legitimate
10629,415000,480.0,,,,,360.0,,,0,0.0,0.0,0,49.5,2,-0.0373,True,,Confirmed (2 metode),Unclassified / Manual Review
35274,45000,208.0,86.714,6.4,33.0,0.72,60.0,445.0,250.0,3556,12.96,228.0,0,29.5,2,-0.0373,True,,Confirmed (2 metode),Unclassified / Manual Review
75952,215000,249.0,73.712,0.98,25.0,-4.47,120.0,,,6409,20.97,243.0,21,59.5,2,-0.0373,True,,Confirmed (2 metode),Unclassified / Manual Review
90296,1695000,422.0,80.0,4.25,40.0,-1.06,360.0,6634.94,1175.0,7360,74.55,94.0,71,49.5,2,-0.0373,True,,Confirmed (2 metode),Unclassified / Manual Review
29490,305000,,,4.25,,,360.0,19897.51,6108.76,20548,92.64,159.0,8,,3,-0.0372,True,,Confirmed (2 metode),Unclassified / Manual Review
48310,265000,125.0,,4.25,,,360.0,7022.49,3767.52,20548,92.64,159.0,8,39.5,2,-0.0372,True,,Confirmed (2 metode),Unclassified / Manual Review
55773,55000,225.0,58.78,,15.0,,360.0,,,6750,7.57,251.0,55,39.5,2,-0.0372,True,,Confirmed (2 metode),Unclassified / Manual Review
98032,1605000,624.0,,,,,360.0,,,5160,28.86,264.0,64,49.5,3,-0.0372,True,,Confirmed (2 metode),Unclassified / Manual Review
81837,245000,328.0,80.0,3.125,46.0,,360.0,,,0,0.0,0.0,0,59.5,2,-0.0371,True,,Confirmed (2 metode),Unclassified / Manual Review
97858,1215000,419.0,70.0,3.875,37.0,-0.58955,360.0,2901.97,0.0,8852,40.07,211.0,0,39.5,3,-0.0371,True,,Confirmed (2 metode),Unclassified / Manual Review
30115,5000,61.0,4.286,4.375,15.0,-2.365,120.0,,,2020,15.0,104.0,25,59.5,2,-0.037,True,,Confirmed (2 metode),Unclassified / Manual Review
40840,1725000,660.0,75.0,3.625,43.0,-0.221,360.0,8191.0,995.0,6612,12.92,199.0,40,49.5,2,-0.037,True,,Confirmed (2 metode),Unclassified / Manual Review
51471,1975000,775.0,65.0,5.25,25.0,,360.0,,,4532,11.21,167.0,18,59.5,2,-0.037,True,,Confirmed (2 metode),Unclassified / Manual Review
69401,2355000,754.0,54.023,3.625,33.0,-0.268,360.0,8896.0,1440.0,3458,31.0,174.0,68,39.5,2,-0.037,True,,Confirmed (2 metode),Rare Legitimate
75146,135000,174.0,79.777,4.5,46.0,-0.099,180.0,0.0,0.0,16159,87.8,136.0,8,49.5,2,-0.037,True,,Confirmed (2 metode),Unclassified / Manual Review
79050,645000,331.0,67.632,2.99,15.0,,360.0,6213.0,1498.0,6765,18.73,305.0,53,39.5,2,-0.037,True,,Confirmed (2 metode),Unclassified / Manual Review
33981,555000,405.0,13.819,3.25,25.0,0.95,180.0,11106.81,5687.5,8429,12.4,126.0,18,49.5,2,-0.0369,True,,Confirmed (2 metode),Rare Legitimate
41316,125000,289.0,15.357,3.03,25.0,-0.34,480.0,,,3962,12.87,226.0,32,69.5,3,-0.0369,True,,Confirmed (2 metode),Unclassified / Manual Review
19163,965000,194.0,80.0,3.49,33.0,,360.0,,,0,0.0,0.0,0,29.5,2,-0.0368,True,,Confirmed (2 metode),Unclassified / Manual Review
49091,415000,232.0,92.135,5.5,42.0,-0.094,360.0,8323.77,3780.0,16990,60.48,117.0,10,29.5,2,-0.0368,True,,Confirmed (2 metode),Unclassified / Manual Review
59557,915000,219.0,100.0,5.625,65.0,0.893,360.0,32666.0,0.0,7316,14.61,161.0,18,39.5,3,-0.0368,True,,Confirmed (2 metode),Unclassified / Manual Review
59886,25000,72.0,54.954,6.5,25.0,2.994,60.0,1593.5,475.0,3333,86.2,70.0,78,29.5,2,-0.0368,True,,Confirmed (2 metode),Unclassified / Manual Review
81893,905000,554.0,51.724,4.09,25.0,-0.8,480.0,,,3809,37.46,159.0,27,59.5,2,-0.0368,True,,Confirmed (2 metode),Rare Legitimate
30891,1445000,655.0,80.0,5.875,25.0,-0.039,360.0,33803.9,31375.4,5437,16.22,178.0,0,49.5,4,-0.0367,True,,Confirmed (2 metode),Unclassified / Manual Review
47704,605000,286.0,,,,,360.0,,,15755,67.06,168.0,11,49.5,3,-0.0367,True,,Confirmed (2 metode),Unclassified / Manual Review
84422,105000,149.0,35.86,5.64,44.0,0.17,60.0,,,7040,45.98,222.0,10,59.5,2,-0.0367,True,,Confirmed (2 metode),Unclassified / Manual Review
20655,2205000,582.0,80.0,4.25,41.0,-0.93,360.0,3670.3,675.0,8271,52.7,188.0,26,49.5,2,-0.0366,True,,Confirmed (2 metode),Unclassified / Manual Review
60629,255000,1000.0,88.44,,15.0,,360.0,,,5045,23.87,276.0,40,49.5,2,-0.0366,True,,Confirmed (2 metode),Unclassified / Manual Review
94046,2485000,713.0,64.083,4.0,42.0,-0.266,360.0,17682.5,5631.0,2918,9.25,188.0,19,59.5,3,-0.0366,True,,Confirmed (2 metode),Unclassified / Manual Review
13133,25000,105.0,14.063,4.49,15.0,1.526,60.0,129.0,0.0,2204,15.61,77.0,50,49.5,2,-0.0365,True,,Confirmed (2 metode),Unclassified / Manual Review
60796,425000,807.0,21.36,5.0,,,240.0,,,1693,18.72,211.0,36,49.5,2,-0.0365,True,,Confirmed (2 metode),Rare Legitimate
80707,35000,345.0,42.14,4.75,15.0,-0.65,120.0,,,2140,15.75,226.0,19,39.5,2,-0.0365,True,,Confirmed (2 metode),Unclassified / Manual Review
17431,1795000,,74.77,8.5,,,12.0,,,3434,33.34,108.0,36,,2,-0.0364,True,,Confirmed (2 metode),Unclassified / Manual Review
88603,975000,141.0,75.0,5.625,33.0,,360.0,,,0,0.0,0.0,0,49.5,2,-0.0364,True,,Confirmed (2 metode),Unclassified / Manual Review
96277,365000,164.0,42.036,3.125,33.0,-0.004,360.0,6161.47,3164.25,12491,44.23,230.0,8,49.5,3,-0.0364,True,,Confirmed (2 metode),Rare Legitimate
16855,155000,234.0,85.294,5.99,25.0,2.89,120.0,0.0,0.0,12675,21.22,126.0,12,39.5,3,-0.0363,True,,Confirmed (2 metode),Unclassified / Manual Review
18726,335000,91.0,67.48,3.75,49.0,0.163,360.0,12109.74,8937.44,18656,57.28,158.0,8,49.5,2,-0.0363,True,,Confirmed (2 metode),Unclassified / Manual Review
27436,2055000,559.0,80.0,2.875,25.0,-0.609,360.0,695.0,676.85,3670,59.92,146.0,0,39.5,2,-0.0363,True,,Confirmed (2 metode),Unclassified / Manual Review
31663,905000,759.0,62.069,3.125,15.0,-0.467,360.0,6880.55,1175.0,1292,11.22,112.0,44,49.5,2,-0.0363,True,,Confirmed (2 metode),Unclassified / Manual Review
32155,415000,,,5.25,,,360.0,19234.87,7521.76,30199,72.92,121.0,9,,3,-0.0363,True,,Confirmed (2 metode),Unclassified / Manual Review
32209,785000,1006.0,65.0,4.875,25.0,-0.483,360.0,5854.25,1238.0,2246,60.82,174.0,8,49.5,2,-0.0363,True,,Confirmed (2 metode),Unclassified / Manual Review
43099,155000,322.0,79.926,1.99,33.0,-1.82,60.0,,,5033,25.95,236.0,11,59.5,4,-0.0363,True,,Confirmed (2 metode),Unclassified / Manual Review
77137,35000,93.0,,,,,360.0,,,27220,69.7,141.0,6,49.5,2,-0.0363,True,,Confirmed (2 metode),Unclassified / Manual Review
83649,1685000,914.0,70.0,5.5,15.0,1.805,360.0,53064.44,44453.4,3163,26.56,97.0,46,39.5,4,-0.0363,True,,Confirmed (2 metode),Unclassified / Manual Review
94291,95000,83.0,,,15.0,,240.0,,,12163,26.42,165.0,15,69.5,2,-0.0363,True,,Confirmed (2 metode),Unclassified / Manual Review
97013,445000,140.0,,,,,360.0,,,24651,51.39,190.0,6,39.5,2,-0.0363,True,,Confirmed (2 metode),Unclassified / Manual Review
2225,265000,100.0,100.0,3.99,33.0,0.279,360.0,10076.13,1509.18,14413,88.05,124.0,6,29.5,2,-0.0362,True,,Confirmed (2 metode),Unclassified / Manual Review
69302,50405000,,64.0,4.922,,,36.0,,,5821,40.65,130.0,42,,2,-0.0362,True,,Confirmed (2 metode),Unclassified / Manual Review
77002,175000,450.0,53.17,1.99,15.0,-4.57,360.0,,,5541,19.6,272.0,19,49.5,3,-0.0362,True,,Confirmed (2 metode),Unclassified / Manual Review
79776,735000,695.0,80.0,4.0,25.0,-0.262,360.0,,,3088,32.19,305.0,26,69.5,2,-0.0362,True,,Confirmed (2 metode),Unclassified / Manual Review
97789,1955000,5360.0,,,,,360.0,,,3188,9.28,136.0,26,39.5,2,-0.0362,True,,Confirmed (2 metode),Unclassified / Manual Review
30415,52505000,,,,,,180.0,,,4072,20.33,252.0,52,,2,-0.0361,True,,Confirmed (2 metode),Unclassified / Manual Review
34927,345000,104.0,100.0,4.0,38.0,0.244,360.0,0.0,,14413,88.05,124.0,6,29.5,2,-0.0361,True,,Confirmed (2 metode),Unclassified / Manual Review
51187,2725000,,30.6,3.5,,,240.0,,,5241,34.25,206.0,17,,2,-0.0361,True,,Confirmed (2 metode),Unclassified / Manual Review
77385,145000,48.0,96.5,,55.0,,360.0,,,14413,88.05,124.0,6,29.5,2,-0.0361,True,,Confirmed (2 metode),Unclassified / Manual Review
88361,505000,150.0,67.043,2.75,33.0,-0.319,360.0,10152.33,7450.0,14610,61.23,171.0,10,59.5,2,-0.0361,True,,Confirmed (2 metode),Unclassified / Manual Review
46616,695000,,75.0,,,,60.0,,,4736,31.61,298.0,78,,2,-0.036,True,,Confirmed (2 metode),Unclassified / Manual Review
50956,35000,43.0,53.465,,65.0,,84.0,,,12149,38.6,145.0,13,49.5,2,-0.036,True,,Confirmed (2 metode),Unclassified / Manual Review
91438,925000,149.0,80.0,3.25,47.0,,360.0,,,0,0.0,0.0,0,29.5,2,-0.036,True,,Confirmed (2 metode),Unclassified / Manual Review
2191,75000,180.0,19.947,3.99,15.0,-2.64,60.0,,,5712,45.83,65.0,43,39.5,2,-0.0359,True,,Confirmed (2 metode),Unclassified / Manual Review
15237,945000,691.0,89.9,7.5,25.0,0.418,360.0,9250.6,2710.1,7934,27.09,176.0,34,49.5,2,-0.0359,True,,Confirmed (2 metode),Unclassified / Manual Review
36774,505000,427.0,51.465,2.49,36.0,0.115,180.0,3951.5,1394.0,11223,46.0,165.0,12,39.5,2,-0.0359,True,,Confirmed (2 metode),Rare Legitimate
42410,1105000,420.0,52.5,2.25,40.0,-0.4,360.0,8435.76,3595.01,4580,11.31,295.0,38,69.5,3,-0.0359,True,,Confirmed (2 metode),Rare Legitimate
50742,15000,46.0,82.13,9.26,33.0,4.37,360.0,,,1530,56.99,41.0,0,80.0,2,-0.0359,True,,Confirmed (2 metode),Unclassified / Manual Review
51603,585000,1474.0,84.0,7.5,15.0,2.21,360.0,22067.6,16956.76,4054,61.82,72.0,45,49.5,3,-0.0359,True,,Confirmed (2 metode),Unclassified / Manual Review
62004,75000,87.0,,8.7,25.0,6.42,240.0,,,9971,95.72,64.0,11,39.5,3,-0.0359,True,,Confirmed (2 metode),Potential Risk Signal
81926,35000,41.0,71.125,9.26,55.0,3.6,480.0,,,6908,16.72,62.0,60,69.5,2,-0.0359,True,,Confirmed (2 metode),Unclassified / Manual Review
89924,575000,158.0,51.0,2.25,49.0,0.07075,180.0,10381.63,4813.94,1087,58.14,117.0,0,69.5,0,-0.0359,True,1.0,Confirmed (2 metode),Rare Legitimate
92353,1055000,388.0,60.0,3.625,25.0,-0.262,360.0,14523.8,8389.8,8192,41.59,195.0,61,39.5,2,-0.0359,True,,Confirmed (2 metode),Rare Legitimate
859,3255000,392.0,,,,,360.0,,,5438,24.31,272.0,51,59.5,3,-0.0358,True,,Confirmed (2 metode),Unclassified / Manual Review
23040,245000,218.0,,,,,240.0,,,18656,57.28,158.0,8,39.5,2,-0.0357,True,,Confirmed (2 metode),Unclassified / Manual Review
58697,105000,237.0,59.353,1.49,15.0,-2.94,60.0,,,4378,18.52,156.0,54,49.5,2,-0.0357,True,,Confirmed (2 metode),Unclassified / Manual Review
61184,105000,185.0,79.318,,55.0,,180.0,,,15093,46.1,118.0,11,39.5,2,-0.0357,True,,Confirmed (2 metode),Unclassified / Manual Review
83393,345000,80.0,,,,,360.0,,,24651,51.39,190.0,6,49.5,2,-0.0357,True,,Confirmed (2 metode),Unclassified / Manual Review
87887,805000,647.0,80.0,4.59,15.0,-0.701,360.0,9651.66,3199.0,7481,34.41,243.0,12,39.5,3,-0.0357,True,,Confirmed (2 metode),Unclassified / Manual Review
39000,335000,145.0,,,,,360.0,,,24651,51.39,190.0,6,49.5,2,-0.0356,True,,Confirmed (2 metode),Unclassified / Manual Review
46056,645000,255.0,87.387,5.0,33.0,0.104,360.0,0.0,0.0,14783,53.35,178.0,7,49.5,2,-0.0356,True,,Confirmed (2 metode),Unclassified / Manual Review
46093,175000,32.0,135.953,,49.0,,300.0,,,0,0.0,0.0,0,39.5,2,-0.0356,True,,Confirmed (2 metode),Unclassified / Manual Review
69252,155000,296.0,64.29,4.49,33.0,0.223,120.0,0.0,0.0,14195,38.16,100.0,13,49.5,2,-0.0356,True,,Confirmed (2 metode),Unclassified / Manual Review
94699,1855000,521.0,,5.875,,,360.0,4208.75,1395.0,1846,13.22,242.0,50,39.5,3,-0.0356,True,,Confirmed (2 metode),Unclassified / Manual Review
4657,15000,61.0,15.0,,55.0,,60.0,,,3335,6.21,116.0,46,80.0,2,-0.0355,True,,Confirmed (2 metode),Unclassified / Manual Review
71245,1005000,1000.0,,,,,360.0,,,7130,19.94,156.0,72,59.5,2,-0.0355,True,,Confirmed (2 metode),Unclassified / Manual Review
88646,8005000,,66.67,,,,12.0,,,6196,50.52,125.0,61,,2,-0.0355,True,,Confirmed (2 metode),Unclassified / Manual Review
4219,785000,634.0,49.682,2.5,25.0,0.174,180.0,12383.58,1279.0,2104,5.04,122.0,31,59.5,2,-0.0354,True,,Confirmed (2 metode),Rare Legitimate
8431,1335000,,70.0,9.95,,,13.0,,,5342,49.57,101.0,24,,3,-0.0354,True,,Confirmed (2 metode),Unclassified / Manual Review
82155,5000,59.0,98.47,0.0,33.0,,36.0,0.0,0.0,4376,76.12,66.0,33,29.5,2,-0.0354,True,,Confirmed (2 metode),Data Error
97240,175000,450.0,72.783,0.0,15.0,-4.43,360.0,,,6464,12.02,168.0,25,59.5,3,-0.0354,True,0.0,Confirmed (2 metode),Data Error
25841,1005000,674.0,57.14,5.25,25.0,-0.396,300.0,,,2424,11.72,133.0,0,49.5,2,-0.0353,True,0.0,Confirmed (2 metode),Rare Legitimate
30394,275000,638.0,58.62,1.99,44.0,-3.67,360.0,,,3219,37.71,311.0,63,59.5,3,-0.0353,True,,Confirmed (2 metode),Unclassified / Manual Review
42914,245000,360.0,74.734,7.125,15.0,2.187,360.0,11322.49,7675.0,9767,85.6,102.0,10,59.5,2,-0.0353,True,,Confirmed (2 metode),Unclassified / Manual Review
50481,575000,494.0,75.0,6.49,15.0,1.75,360.0,16629.8,10545.0,5561,88.55,102.0,61,20.0,2,-0.0353,True,,Confirmed (2 metode),Unclassified / Manual Review
46118,225000,,74.633,6.975,,2.294,360.0,,7284.63,15080,70.19,117.0,8,39.5,2,-0.0352,True,,Confirmed (2 metode),Unclassified / Manual Review
14241,75000,137.0,70.59,8.25,49.0,3.98,120.0,,,11635,45.7,161.0,12,39.5,2,-0.0351,True,,Confirmed (2 metode),Unclassified / Manual Review
47650,405000,441.0,23.055,2.25,15.0,-2.05,,,,3929,79.61,93.0,20,49.5,2,-0.0351,True,,Confirmed (2 metode),Rare Legitimate
56046,655000,407.0,70.0,4.0,33.0,,6.0,1505.45,655.0,5001,51.95,171.0,12,59.5,2,-0.0351,True,,Confirmed (2 metode),Unclassified / Manual Review
68652,1895000,289.0,85.0,,65.0,,360.0,,,4770,26.79,248.0,52,49.5,3,-0.035,True,,Confirmed (2 metode),Unclassified / Manual Review
80223,255000,4500.0,,,,,360.0,,,2908,21.25,219.0,0,69.5,2,-0.035,True,,Confirmed (2 metode),Unclassified / Manual Review
14473,355000,291.0,76.0,3.79,15.0,,44.0,,,3705,19.84,169.0,0,39.5,2,-0.0349,True,,Confirmed (2 metode),Unclassified / Manual Review
21478,1425000,525.0,79.26,3.25,37.0,0.532,180.0,15040.32,15040.32,6423,17.61,244.0,23,39.5,4,-0.0349,True,,Confirmed (2 metode),Unclassified / Manual Review
24877,235000,49.0,95.0,3.75,55.0,-1.763,360.0,,,0,0.0,0.0,0,69.5,2,-0.0349,True,,Confirmed (2 metode),Unclassified / Manual Review
6318,1145000,951.0,80.0,3.875,15.0,0.068,360.0,27488.56,21984.68,5126,48.05,159.0,40,39.5,4,-0.0348,True,,Confirmed (2 metode),Unclassified / Manual Review
45445,245000,119.0,72.727,4.75,41.0,,360.0,,,30199,72.92,121.0,9,39.5,2,-0.0348,True,,Confirmed (2 metode),Unclassified / Manual Review
53915,565000,952.0,70.0,4.375,15.0,-0.961,360.0,4290.96,1300.0,6400,17.31,211.0,55,29.5,2,-0.0348,True,,Confirmed (2 metode),Unclassified / Manual Review
62111,1195000,511.0,26.5,,15.0,,360.0,,,3354,24.33,174.0,66,39.5,2,-0.0348,True,,Confirmed (2 metode),Rare Legitimate
85003,155000,,70.0,9.7,,,13.0,,,3888,80.3,45.0,66,,2,-0.0348,True,,Confirmed (2 metode),Unclassified / Manual Review
85055,2665000,,65.0,6.625,,,360.0,,,2259,37.23,255.0,49,59.5,2,-0.0348,True,,Confirmed (2 metode),Unclassified / Manual Review
8592,5000,91.0,101.81,0.0,42.0,,36.0,0.0,0.0,5175,86.36,107.0,15,29.5,2,-0.0347,True,,Confirmed (2 metode),Data Error
46133,4005000,,71.43,4.6,,,60.0,,,1965,26.01,78.0,60,,2,-0.0347,True,,Confirmed (2 metode),Unclassified / Manual Review
64818,1435000,999.0,65.0,4.125,38.0,,360.0,,,3893,19.19,171.0,0,49.5,2,-0.0347,True,,Confirmed (2 metode),Unclassified / Manual Review
99167,2455000,310.0,80.0,,55.0,,360.0,,,5513,51.06,172.0,0,39.5,2,-0.0347,True,,Confirmed (2 metode),Unclassified / Manual Review
63345,1575000,976.0,,,,,360.0,,,7520,30.4,171.0,53,39.5,2,-0.0346,True,,Confirmed (2 metode),Unclassified / Manual Review
74578,55000,227.0,89.434,9.24,46.0,6.21,60.0,,,6588,25.17,121.0,6,29.5,3,-0.0346,True,,Confirmed (2 metode),Potential Risk Signal
12500,245000,,80.0,8.75,,,12.0,,,6015,49.78,62.0,48,80.0,2,-0.0345,True,,Confirmed (2 metode),Unclassified / Manual Review
72761,615000,193.0,99.506,2.75,48.0,-0.146,360.0,22831.0,0.0,14643,58.16,134.0,7,49.5,3,-0.0345,True,,Confirmed (2 metode),Unclassified / Manual Review
81536,385000,121.0,80.0,6.5,43.0,0.719,360.0,5433.72,1711.19,17666,21.56,168.0,6,39.5,2,-0.0345,True,,Confirmed (2 metode),Unclassified / Manual Review
85927,95000,710.0,70.563,,55.0,,240.0,,,6212,38.88,302.0,15,49.5,2,-0.0345,True,,Confirmed (2 metode),Unclassified / Manual Review
13007,805000,1175.0,70.0,4.375,15.0,-0.334,360.0,5604.11,3500.0,6559,31.85,163.0,17,39.5,2,-0.0344,True,,Confirmed (2 metode),Unclassified / Manual Review
92925,895000,612.0,22.25,3.0,25.0,-0.1094,360.0,6311.65,815.0,4354,9.78,188.0,44,59.5,2,-0.0344,True,,Confirmed (2 metode),Rare Legitimate
815,1275000,424.0,75.0,7.125,43.0,,360.0,,,4442,33.63,45.0,0,39.5,2,-0.0343,True,,Confirmed (2 metode),Unclassified / Manual Review
68607,405000,86.0,92.5,3.875,44.0,-0.313,360.0,,,13901,21.31,221.0,12,29.5,3,-0.0343,True,,Confirmed (2 metode),Unclassified / Manual Review
71834,265000,61.0,80.0,3.0,39.0,-0.665,360.0,12205.7,8801.0,15080,70.19,117.0,8,29.5,2,-0.0343,True,,Confirmed (2 metode),Unclassified / Manual Review
12084,95000,,,9.775,,,360.0,,,0,0.0,0.0,0,,2,-0.0342,True,,Confirmed (2 metode),Unclassified / Manual Review
32816,505000,73.0,78.203,3.875,45.0,0.241,360.0,11595.48,8226.88,18273,64.63,138.0,11,69.5,2,-0.0342,True,,Confirmed (2 metode),Unclassified / Manual Review
37229,165000,,116.28,8.75,,,12.0,,,4671,78.4,73.0,70,,2,-0.0342,True,,Confirmed (2 metode),Unclassified / Manual Review
65913,1055000,1116.0,75.0,3.0,15.0,0.13,360.0,12258.39,7535.0,2580,10.66,128.0,48,29.5,2,-0.0342,True,,Confirmed (2 metode),Unclassified / Manual Review
83620,75000,306.0,71.14,9.55,25.0,4.254,60.0,942.96,0.0,4755,38.59,201.0,34,39.5,4,-0.0342,True,,Confirmed (2 metode),Unclassified / Manual Review
88404,105000,450.0,79.982,3.24,15.0,0.04,180.0,0.0,0.0,9770,38.09,127.0,13,59.5,2,-0.0342,True,,Confirmed (2 metode),Unclassified / Manual Review
88633,1505000,545.0,70.588,3.75,33.0,0.371,360.0,12067.0,1295.0,6388,16.31,217.0,56,59.5,3,-0.0342,True,,Confirmed (2 metode),Unclassified / Manual Review
4127,515000,183.0,100.0,4.625,55.0,-0.575,360.0,9897.45,8384.17,12732,61.13,144.0,7,39.5,2,-0.0341,True,,Confirmed (2 metode),Unclassified / Manual Review
10316,38525000,,,,,,84.0,,,2763,35.69,149.0,21,,2,-0.0341,True,,Confirmed (2 metode),Unclassified / Manual Review
25610,335000,1080.0,80.0,4.99,15.0,1.099,360.0,14469.68,11125.66,6130,54.5,87.0,31,80.0,2,-0.0341,True,,Confirmed (2 metode),Unclassified / Manual Review
45592,275000,68.0,135.328,,55.0,,360.0,,,0,0.0,0.0,0,39.5,2,-0.0341,True,,Confirmed (2 metode),Unclassified / Manual Review
90904,105000,33.0,97.917,,65.0,,360.0,,,12043,66.74,139.0,16,69.5,2,-0.0341,True,,Confirmed (2 metode),Unclassified / Manual Review
29787,2085000,1052.0,70.0,4.25,37.0,-0.282,360.0,7671.25,1222.0,1861,9.99,177.0,21,39.5,2,-0.034,True,,Confirmed (2 metode),Unclassified / Manual Review
61835,345000,584.0,73.0,4.25,15.0,,36.0,,,4587,13.36,123.0,29,29.5,2,-0.034,True,,Confirmed (2 metode),Unclassified / Manual Review
62317,1235000,571.0,75.0,4.5,15.0,-0.761,360.0,6097.5,795.0,3535,12.14,108.0,31,80.0,2,-0.034,True,,Confirmed (2 metode),Unclassified / Manual Review
71537,645000,921.0,51.0,4.25,36.0,0.445,360.0,4349.92,1095.0,2498,25.26,216.0,16,59.5,2,-0.034,True,,Confirmed (2 metode),Rare Legitimate
80125,875000,521.0,33.86,2.875,25.0,-0.271,360.0,3529.43,783.13,4456,33.62,222.0,71,39.5,3,-0.034,True,,Confirmed (2 metode),Rare Legitimate
91040,145000,73.0,,,,,360.0,,,30199,72.92,121.0,9,29.5,2,-0.034,True,,Confirmed (2 metode),Unclassified / Manual Review
92952,235000,,149.68,8.95,,,12.0,,,10439,38.71,129.0,18,,4,-0.034,True,,Confirmed (2 metode),Unclassified / Manual Review
39070,885000,749.0,80.0,4.5,25.0,0.161,360.0,7965.95,1940.0,9551,10.94,169.0,11,39.5,2,-0.0339,True,,Confirmed (2 metode),Unclassified / Manual Review
48891,5000,,,0.0,,,36.0,0.0,0.0,2858,88.38,51.0,39,,2,-0.0339,True,,Confirmed (2 metode),Data Error
57411,2155000,430.0,36.752,,55.0,,360.0,,,2680,25.26,126.0,44,59.5,2,-0.0339,True,,Confirmed (2 metode),Rare Legitimate
69490,2005000,651.0,74.074,2.875,25.0,0.633,360.0,5948.4,695.0,3868,34.41,127.0,0,39.5,2,-0.0339,True,,Confirmed (2 metode),Unclassified / Manual Review
82102,105000,85.0,13.889,5.499,25.0,0.589,360.0,2083.0,640.0,8816,6.39,138.0,15,69.5,2,-0.0339,True,,Confirmed (2 metode),Unclassified / Manual Review
82233,105000,55.0,,8.0,48.0,4.09,300.0,,,0,0.0,0.0,0,39.5,2,-0.0339,True,,Confirmed (2 metode),Unclassified / Manual Review
