row_index,loan_amount,income,combined_loan_to_value_ratio,interest_rate,debt_to_income_ratio,rate_spread,loan_term,total_loan_costs,origination_charges,tract_population,tract_minority_population_percent,tract_to_msa_income_percentage,tract_median_age_of_housing_units,applicant_age,stat_score,if_score,if_flag,dbscan_noise,tier,typology
99524,1605000,1.0,61.538,,65.0,,360.0,,,3575,24.62,217.0,74,39.5,2,-0.0464,True,1.0,High Confidence,Potential Risk Signal
1566,1935000,44.0,,8.225,,,,,,4435,72.99,204.0,63,80.0,2,-0.0461,True,1.0,High Confidence,Unclassified / Manual Review
34440,3005000,0.0,67.416,4.0,43.0,-1.48,360.0,,,4147,16.98,269.0,48,80.0,2,-0.0455,True,1.0,High Confidence,Data Error
6329,2685000,764.0,80.0,3.875,38.0,-0.88,360.0,5621.25,1238.0,5709,71.61,170.0,54,39.5,2,-0.0446,True,1.0,High Confidence,Unclassified / Manual Review
31192,12675000,,76.03,3.75,,,42.0,,,3946,36.24,81.0,62,,2,-0.0408,True,1.0,High Confidence,Unclassified / Manual Review
24150,315000,110.0,,,,,360.0,,,20530,58.19,211.0,8,49.5,3,-0.0403,True,1.0,High Confidence,Unclassified / Manual Review
13821,115000,111.0,,8.99,25.0,6.218,240.0,,,2709,95.13,0.0,19,39.5,3,-0.0402,True,1.0,High Confidence,Potential Risk Signal
34564,355000,541.0,30.263,,39.0,,360.0,,,9846,85.67,196.0,13,49.5,2,-0.0398,True,1.0,High Confidence,Unclassified / Manual Review
55742,345000,83.0,,,,,360.0,,,24651,51.39,190.0,6,29.5,2,-0.0398,True,1.0,High Confidence,Unclassified / Manual Review
13644,22905000,,67.4,4.71,,,60.0,,,3702,10.7,158.0,19,,2,-0.0374,True,1.0,High Confidence,Unclassified / Manual Review
67286,3655000,,44.38,5.91,,,84.0,,,2722,45.48,74.0,21,,2,-0.0354,True,1.0,High Confidence,Unclassified / Manual Review
61115,1005000,434.0,,4.625,,,180.0,4963.0,1440.0,2696,8.12,391.0,68,,3,-0.035,True,1.0,High Confidence,Unclassified / Manual Review
