cluster_name,jumlah,avg_income,avg_loan_amount,avg_interest_rate,avg_ltv,persen,loan_to_income_ratio
Kelas Menengah (Grup 1),42579,107.48328107223132,256726.2030578454,4.86967404675345,75.18228286474519,42.58,2.3885222008185565
Konservatif HNW (Grup 3),32079,207.56519513755597,317120.39028648025,4.692410272045028,72.98873292106677,32.08,1.527811009337672
Peminjam Agresif (Grup 2),25336,152.33184627538455,375772.8133880644,4.727117558111526,73.44964783310976,25.34,2.4668040372119213
