antecedents,consequents,support,confidence,lift
"derived_dwelling_category_multifamily:site-built, purchaser_type_0",conforming_loan_limit_missing,0.003690221413284797,1.0,235.28
"derived_dwelling_category_multifamily:site-built, reverse_mortgage_2",conforming_loan_limit_missing,0.003440206412384743,1.0,235.28
"debt_to_income_ratio_missing, derived_dwelling_category_multifamily:site-built",conforming_loan_limit_missing,0.003420205212312739,1.0,235.28
total_units_5-24,conforming_loan_limit_missing,0.0028501710102606156,1.0,235.28
"loan_type_1, total_units_5-24",conforming_loan_limit_missing,0.0028501710102606156,1.0,235.28
"occupancy_type_3, total_units_5-24",conforming_loan_limit_missing,0.0028501710102606156,1.0,235.28
"preapproval_2, total_units_5-24",conforming_loan_limit_missing,0.0028401704102246133,1.0,235.28
"derived_loan_product_type_conventional:first lien, total_units_5-24",conforming_loan_limit_missing,0.0028001680100806048,1.0,235.28
"lien_status_1, total_units_5-24",conforming_loan_limit_missing,0.0028001680100806048,1.0,235.28
"derived_dwelling_category_multifamily:site-built, total_units_5-24",conforming_loan_limit_missing,0.0027901674100446025,1.0,235.28
"construction_method_1, total_units_5-24",conforming_loan_limit_missing,0.0027901674100446025,1.0,235.28
"derived_dwelling_category_multifamily:site-built, loan_term_bin_(0.999, 300.0]",conforming_loan_limit_missing,0.0027701662099725985,1.0,235.28
"purchaser_type_0, total_units_5-24",conforming_loan_limit_missing,0.0027101626097565854,1.0,235.28
"co_applicant_age_missing, total_units_5-24",conforming_loan_limit_missing,0.002620157209432566,1.0,235.28
"derived_race_race not available, total_units_5-24",conforming_loan_limit_missing,0.002560153609216553,1.0,235.28
"applicant_age_missing, total_units_5-24",conforming_loan_limit_missing,0.002480148808928536,1.0,235.28
"reverse_mortgage_2, total_units_5-24",conforming_loan_limit_missing,0.0023301398083885034,1.0,235.28
"debt_to_income_ratio_missing, total_units_5-24",conforming_loan_limit_missing,0.002310138608316499,1.0,235.28
"derived_dwelling_category_multifamily:site-built, state_code_other",conforming_loan_limit_missing,0.0020201212072724363,1.0,235.28
"derived_dwelling_category_multifamily:site-built, loan_purpose_1",conforming_loan_limit_missing,0.0018801128067684062,1.0,235.28
"loan_term_bin_(0.999, 300.0], total_units_5-24",conforming_loan_limit_missing,0.0018001080064803888,1.0,235.28
"combined_loan_to_value_ratio_bin_(0.129, 68.474], derived_dwelling_category_multifamily:site-built",conforming_loan_limit_missing,0.0016701002060123607,1.0,235.28
"state_code_other, total_units_5-24",conforming_loan_limit_missing,0.0014500870052203132,1.0,235.28
"derived_dwelling_category_multifamily:site-built, loan_purpose_31",conforming_loan_limit_missing,0.0014000840050403024,1.0,235.28
"loan_purpose_1, total_units_5-24",conforming_loan_limit_missing,0.0012900774046442787,1.0,235.28
"derived_dwelling_category_multifamily:site-built, interest_rate_bin_missing",conforming_loan_limit_missing,0.0012700762045722742,1.0,235.28
"combined_loan_to_value_ratio_bin_missing, derived_dwelling_category_multifamily:site-built",conforming_loan_limit_missing,0.0012700762045722742,1.0,235.28
"derived_dwelling_category_multifamily:site-built, interest_rate_bin_(3.99, 5.375]",conforming_loan_limit_missing,0.001240074404464268,1.0,235.28
"combined_loan_to_value_ratio_bin_(68.474, 82.976], derived_dwelling_category_multifamily:site-built",conforming_loan_limit_missing,0.0011600696041762506,1.0,235.28
"combined_loan_to_value_ratio_bin_(0.129, 68.474], total_units_5-24",conforming_loan_limit_missing,0.0010200612036722204,1.0,235.28
conforming_loan_limit_missing,total_units_5-24,0.0028501710102606156,0.6705882352941176,235.28
"conforming_loan_limit_missing, occupancy_type_3",total_units_5-24,0.0028501710102606156,0.6705882352941176,235.28
conforming_loan_limit_missing,derived_dwelling_category_multifamily:site-built,0.004130247814868892,0.9717647058823529,235.27999999999997
"conforming_loan_limit_missing, occupancy_type_3",derived_dwelling_category_multifamily:site-built,0.004130247814868892,0.9717647058823529,235.27999999999997
"conforming_loan_limit_missing, loan_type_1",derived_dwelling_category_multifamily:site-built,0.004110246614796888,0.9716312056737588,235.24767743375747
"conforming_loan_limit_missing, preapproval_2",derived_dwelling_category_multifamily:site-built,0.004100246014760885,0.971563981042654,235.2314012599979
"combined_loan_to_value_ratio_bin_(0.129, 68.474], conforming_loan_limit_missing",derived_dwelling_category_multifamily:site-built,0.0016701002060123607,0.9709302325581395,235.07796047074723
"conforming_loan_limit_missing, lien_status_1",derived_dwelling_category_multifamily:site-built,0.003960237614256856,0.9705882352941176,234.9951573849879
"conforming_loan_limit_missing, derived_loan_product_type_conventional:first lien",derived_dwelling_category_multifamily:site-built,0.003950237014220853,0.9705159705159705,234.9776609098643
"conforming_loan_limit_missing, derived_race_race not available",derived_dwelling_category_multifamily:site-built,0.003800228013680821,0.9693877551020409,234.70450165538372
"conforming_loan_limit_missing, reverse_mortgage_2",derived_dwelling_category_multifamily:site-built,0.003440206412384743,0.9690140845070422,234.61402994236605
"conforming_loan_limit_missing, debt_to_income_ratio_missing",derived_dwelling_category_multifamily:site-built,0.003420205212312739,0.9688385269121814,234.57152460062147
"applicant_age_missing, conforming_loan_limit_missing",derived_dwelling_category_multifamily:site-built,0.0037302238134288056,0.9688311688311688,234.56974308983993
"conforming_loan_limit_missing, purchaser_type_0",derived_dwelling_category_multifamily:site-built,0.003690221413284797,0.968503937007874,234.49051495681684
"combined_loan_to_value_ratio_bin_(68.474, 82.976], conforming_loan_limit_missing",derived_dwelling_category_multifamily:site-built,0.0011600696041762506,0.9666666666666668,234.04568200161424
"conforming_loan_limit_missing, state_code_other",derived_dwelling_category_multifamily:site-built,0.0020201212072724363,0.9665071770334928,234.0070669740607
"co_applicant_age_missing, derived_dwelling_category_multifamily:site-built",total_units_5-24,0.002560153609216553,0.6666666666666666,233.90409356725146
"conforming_loan_limit_missing, loan_term_bin_(0.999, 300.0]",derived_dwelling_category_multifamily:site-built,0.0027701662099725985,0.9618055555555555,232.8687281409739
"conforming_loan_limit_missing, interest_rate_bin_(3.99, 5.375]",derived_dwelling_category_multifamily:site-built,0.001240074404464268,0.9612403100775194,232.73187304089947
"co_applicant_age_missing, conforming_loan_limit_missing",total_units_5-24,0.002620157209432566,0.6632911392405063,232.71976904286032
"derived_dwelling_category_multifamily:site-built, reverse_mortgage_2",total_units_5-24,0.0022801368082084926,0.6627906976744187,232.54418604651167
"conforming_loan_limit_missing, loan_purpose_1",derived_dwelling_category_multifamily:site-built,0.0018801128067684062,0.9591836734693878,232.2339279537481
"debt_to_income_ratio_missing, derived_dwelling_category_multifamily:site-built",total_units_5-24,0.002260135608136488,0.6608187134502923,231.85230327280186
"conforming_loan_limit_missing, loan_purpose_1",total_units_5-24,0.0012900774046442787,0.6581632653061226,230.92062298603656
"loan_purpose_1, total_units_5-24",derived_dwelling_category_multifamily:site-built,0.0012300738044282657,0.9534883720930232,230.8550030970212
"derived_dwelling_category_multifamily:site-built, derived_race_race not available",total_units_5-24,0.00250015000900054,0.6578947368421052,230.82640812557707
"conforming_loan_limit_missing, reverse_mortgage_2",total_units_5-24,0.0023301398083885034,0.6563380281690141,230.28022732888562
"conforming_loan_limit_missing, debt_to_income_ratio_missing",total_units_5-24,0.002310138608316499,0.6543909348441926,229.5970776800358
"derived_dwelling_category_multifamily:site-built, loan_purpose_1",total_units_5-24,0.0012300738044282657,0.6542553191489361,229.54949608062708
"conforming_loan_limit_missing, derived_race_race not available",total_units_5-24,0.002560153609216553,0.653061224489796,229.13054063730758
